No,Neighborhood,Zip Code,Precincts
1,,77003,"9, 1"
2,,77003,"10, 2"
3,,77003,"16, 3"
4,,77003,"19, 7"
5,,77003,"20, 9"
6,,77003,"24, 10"
7,,77003,"26, 11"
8,,77003,"369, 14"
9,,77003,"892, 16"
10,,77004,"20, 17"
11,,77004,"21, 18"
12,,77004,"24, 19"
13,,77004,"25, 20"
14,,77004,"85, 21"
15,,77004,"136, 23"
16,,77004,"193, 24"
17,,77004,"194, 25"
18,,77004,"198, 26"
19,,77004,"210, 27"
20,,77004,"247, 29"
21,,77004,"389, 30"
22,,77004,"390, 31"
23,,77004,"540, 36"
24,,77007,"1, 42"
25,,77007,"2, 46"
26,,77007,"3, 47"
27,,77007,"30, 48"
28,,77007,"52, 52"
29,,77007,"53, 53"
30,,77007,"55, 55"
31,,77007,"70, 62"
32,,77007,"71, 64"
33,,77007,"501, 65"
34,,77007,"680, 66"
35,,77007,"681, 67"
36,,77007,"710, 68"
37,,77007,"729, 69"
38,,77007,"775, 70"
39,,77007,"886, 71"
40,,77007,"887, 72"
41,,77007,"999, 78"
42,,77011,"10, 79"
43,,77011,"11, 80"
44,,77011,"64, 81"
45,,77011,"69, 85"
46,,77011,"218, 89"
47,,77011,"530, 93"
48,,77012,"23, 94"
49,,77012,"64, 104"
50,,77012,"65, 105"
51,,77012,"66, 107"
52,,77012,"72, 113"
53,,77012,"154, 115"
54,,77012,"226, 122"
55,,77012,"527, 128"
56,,77015,"80, 130"
57,,77015,"81, 131"
58,,77015,"162, 132"
59,,77015,"266, 134"
60,,77015,"354, 136"
61,,77015,"368, 138"
62,,77015,"375, 140"
63,,77015,"413, 141"
64,,77015,"725, 142"
65,,77015,"821, 144"
66,,77015,"824, 145"
67,,77015,"827, 146"
68,,77015,"831, 150"
69,,77015,"872, 151"
70,,77016,"104, 152"
71,,77016,"151, 153"
72,,77016,"168, 154"
73,,77016,"230, 155"
74,,77016,"252, 158"
75,,77016,"396, 159"
76,,77016,"454, 160"
77,,77016,"574, 161"
78,,77016,"583, 162"
79,,77016,"584, 163"
80,,77016,"585, 164"
81,,77016,"611, 167"
82,,77016,"656, 168"
83,,77016,"832, 171"
84,,77016,"942, 172"
85,,77017,"66, 175"
86,,77017,"94, 176"
87,,77017,"142, 180"
88,,77017,"181, 181"
89,,77017,"211, 182"
90,,77017,"221, 184"
91,,77017,"231, 185"
92,,77017,"308, 186"
93,,77017,"329, 187"
94,,77017,"526, 188"
95,,77017,"527, 192"
96,,77020,"48, 193"
97,,77020,"62, 194"
98,,77020,"79, 195"
99,,77020,"159, 198"
100,,77020,"160, 201"
101,,77020,"161, 202"
102,,77020,"202, 203"
103,,77020,"369, 205"
104,,77020,"373, 208"
105,,77020,"412, 210"
106,,77020,"560, 211"
107,,77020,"811, 212"
108,,77020,"962, 213"
109,,77021,"31, 214"
110,,77021,"140, 215"
111,,77021,"180, 218"
112,,77021,"219, 219"
113,,77021,"228, 220"
114,,77021,"235, 221"
115,,77021,"538, 224"
116,,77021,"564, 226"
117,,77022,"78, 228"
118,,77022,"122, 229"
119,,77022,"153, 230"
120,,77022,"184, 231"
121,,77022,"192, 232"
122,,77022,"195, 235"
123,,77022,"325, 236"
124,,77022,"341, 237"
125,,77022,"543, 238"
126,,77022,"683, 239"
127,,77022,"836, 240"
128,,77022,"914, 242"
129,,77023,"9, 243"
130,,77023,"10, 247"
131,,77023,"26, 252"
132,,77023,"27, 253"
133,,77023,"67, 254"
134,,77023,"72, 255"
135,,77023,"218, 258"
136,,77023,"343, 259"
137,,77023,"892, 260"
138,,77024,"70, 261"
139,,77024,"71, 262"
140,,77024,"213, 264"
141,,77024,"258, 265"
142,,77024,"265, 266"
143,,77024,"273, 267"
144,,77024,"274, 268"
145,,77024,"385, 271"
146,,77024,"424, 273"
147,,77024,"439, 274"
148,,77024,"440, 275"
149,,77024,"441, 276"
150,,77024,"730, 278"
151,,77024,"902, 281"
152,,77025,"17, 285"
153,,77025,"18, 287"
154,,77025,"89, 288"
155,,77025,"175, 291"
156,,77025,"224, 294"
157,,77025,"232, 295"
158,,77025,"287, 304"
159,,77025,"350, 308"
160,,77025,"541, 310"
161,,77025,"891, 315"
162,,77025,"931, 316"
163,,77025,"933, 317"
164,,77025,"949, 320"
165,,77025,"994, 321"
166,,77026,"42, 325"
167,,77026,"46, 326"
168,,77026,"47, 329"
169,,77026,"138, 330"
170,,77026,"144, 335"
171,,77026,"167, 336"
172,,77026,"186, 341"
173,,77026,"201, 343"
174,,77026,"344, 344"
175,,77026,"369, 345"
176,,77026,"406, 350"
177,,77026,"455, 354"
178,,77026,"544, 355"
179,,77026,"562, 356"
180,,77026,"582, 368"
181,,77026,"606, 369"
182,,77026,"854, 371"
183,,77026,"900, 373"
184,,77026,"940, 375"
185,,77028,"7, 379"
186,,77028,"42, 381"
187,,77028,"115, 383"
188,,77028,"145, 385"
189,,77028,"205, 389"
190,,77028,"253, 390"
191,,77028,"401, 392"
192,,77028,"455, 396"
193,,77028,"580, 401"
194,,77028,"581, 402"
195,,77028,"582, 403"
196,,77028,"585, 404"
197,,77028,"784, 406"
198,,77029,"62, 408"
199,,77029,"162, 411"
200,,77029,"163, 412"
201,,77029,"164, 413"
202,,77029,"187, 419"
203,,77029,"208, 422"
204,,77029,"229, 423"
205,,77029,"259, 424"
206,,77029,"373, 428"
207,,77029,"769, 431"
208,,77029,"810, 439"
209,,77029,"811, 440"
210,,77029,"812, 441"
211,,77029,"816, 444"
212,,77029,"905, 445"
213,,77029,"1143, 451"
214,,77033,"236, 454"
215,,77033,"237, 455"
216,,77033,"238, 468"
217,,77033,"239, 488"
218,,77033,"240, 492"
219,,77033,"276, 493"
220,,77033,"288, 499"
221,,77033,"573, 501"
222,,77033,"822, 506"
223,,77037,"185, 512"
224,,77037,"320, 513"
225,,77037,"321, 516"
226,,77037,"408, 524"
227,,77037,"423, 526"
228,,77037,"595, 527"
229,,77037,"608, 530"
230,,77037,"780, 538"
231,,77037,"864, 540"
232,,77037,"959, 541"
233,,77037,"1030, 543"
234,,77041,"155, 544"
235,,77041,"260, 554"
236,,77041,"383, 559"
237,,77041,"512, 560"
238,,77041,"621, 562"
239,,77041,"622, 564"
240,,77041,"689, 566"
241,,77041,"701, 570"
242,,77042,"130, 571"
243,,77042,"356, 573"
244,,77042,"492, 574"
245,,77042,"499, 579"
246,,77042,"559, 580"
247,,77042,"566, 581"
248,,77042,"626, 582"
249,,77042,"807, 583"
250,,77047,"131, 584"
251,,77047,"271, 585"
252,,77047,"336, 591"
253,,77047,"355, 592"
254,,77047,"392, 595"
255,,77047,"402, 600"
256,,77047,"630, 605"
257,,77047,"867, 606"
258,,77047,"871, 607"
259,,77047,"1006, 608"
260,,77048,"132, 610"
261,,77048,"243, 611"
262,,77048,"392, 613"
263,,77048,"402, 621"
264,,77048,"422, 622"
265,,77048,"607, 623"
266,,77048,"969, 626"
267,,77048,"1010, 630"
268,,77051,"68, 646"
269,,77051,"158, 647"
270,,77051,"294, 656"
271,,77051,"295, 669"
272,,77051,"564, 677"
273,,77051,"585, 680"
274,,77051,"863, 681"
275,,77051,"1006, 683"
276,,77061,"36, 689"
277,,77061,"134, 693"
278,,77061,"275, 698"
279,,77061,"308, 701"
280,,77061,"749, 702"
281,,77061,"798, 708"
282,,77061,"850, 710"
283,,77066,"113, 714"
284,,77066,"468, 719"
285,,77066,"493, 725"
286,,77066,"516, 729"
287,,77066,"592, 730"
288,,77066,"613, 741"
289,,77066,"698, 749"
290,,77066,"873, 766"
291,,77069,"451, 769"
292,,77069,"513, 773"
293,,77069,"623, 775"
294,,77069,"669, 779"
295,,77076,"105, 780"
296,,77076,"261, 784"
297,,77076,"321, 787"
298,,77076,"325, 795"
299,,77076,"326, 798"
300,,77076,"579, 807"
301,,77076,"677, 810"
302,,77076,"683, 811"
303,,77076,"787, 812"
304,,77076,"795, 816"
305,,77076,"835, 819"
306,,77076,"910, 821"
307,,77078,"115, 822"
308,,77078,"150, 824"
309,,77078,"205, 826"
310,,77078,"371, 827"
311,,77078,"585, 831"
312,,77078,"832, 832"
313,,77080,"262, 835"
314,,77080,"264, 836"
315,,77080,"310, 850"
316,,77080,"330, 854"
317,,77080,"444, 863"
318,,77080,"445, 864"
319,,77080,"610, 867"
320,,77080,"946, 869"
321,,77080,"952, 871"
322,,77080,"973, 872"
323,,77080,"978, 873"
324,,77081,"304, 886"
325,,77081,"335, 887"
326,,77081,"345, 891"
327,,77081,"431, 892"
328,,77081,"570, 900"
329,,77081,"826, 902"
330,,77083,"428, 905"
331,,77083,"488, 910"
332,,77083,"524, 914"
333,,77083,"600, 919"
334,,77083,"646, 930"
335,,77083,"647, 931"
336,,77083,"773, 933"
337,,77083,"1037, 940"
338,,77083,"1068, 942"
339,,77087,"67, 946"
340,,77087,"154, 949"
341,,77087,"172, 952"
342,,77087,"203, 959"
343,,77087,"231, 962"
344,,77087,"285, 969"
345,,77087,"379, 973"
346,,77087,"766, 978"
347,,77093,"107, 986"
348,,77093,"152, 994"
349,,77093,"171, 999"
350,,77093,"212, 1006"
351,,77093,"254, 1010"
352,,77093,"321, 1026"
353,,77093,"411, 1030"
354,,77093,"571, 1037"
355,,77093,"591, 1068"
356,,77093,"702, 1070"
357,,77093,"714, 1079"
358,,77093,"779, 1143"
359,,77093,930
360,,77093,1070
361,,77096,14
362,,77096,146
363,,77096,176
364,,77096,182
365,,77096,255
366,,77096,281
367,,77096,291
368,,77096,304
369,,77096,315
370,,77096,316
371,,77096,317
372,,77096,403
373,,77096,554
374,,77096,693
375,,77096,819
376,,77096,869
377,,77096,986
378,,77401,128
379,,77401,214
380,,77401,215
381,,77401,268
382,,77401,570
383,,77401,919
384,,77489,506
385,,77502,188
386,,77502,242
387,,77502,267
388,,77502,677
389,,77502,278
390,,77502,404
391,,77502,419
392,,77502,708
393,,77530,141
394,,77530,220
395,,77530,381
396,,77530,605
397,,77530,719
398,,77530,741
399,,77530,872
400,,77530,1026
401,,77530,1079
402,,77547,81
403,,77547,208
404,,77587,29
405,,77587,93
